language,ssr
Turkish,0.0
Hungarian,0.023255813953488372
Sundanese,0.023255813953488372
Sesotho,0.03488372093023256
Turkmen,0.03488372093023256
Igbo,0.046511627906976744
Hawaiian,0.046511627906976744
Bengali,0.046511627906976744
Hmong,0.046511627906976744
Kinyarwanda,0.046511627906976744
Persian,0.05813953488372093
Uzbek,0.05813953488372093
Azerbaijani,0.06976744186046512
Malagasy,0.06976744186046512
Cebuano,0.06976744186046512
Haitian Creole,0.06976744186046512
Shona,0.08139534883720931
Samoan,0.08139534883720931
Mongolian,0.08139534883720931
Malay,0.08139534883720931
Kurdish,0.09302325581395349
Tatar,0.09302325581395349
Kyrgyz,0.09302325581395349
Nyanja_Chichewa,0.09302325581395349
Uyghur,0.09302325581395349
Oriya,0.10465116279069768
Kazakh,0.11627906976744186
Maori,0.11627906976744186
Greek,0.11627906976744186
Indonesian,0.11627906976744186
Armenian,0.11627906976744186
Basque,0.11627906976744186
Georgian,0.12790697674418605
Hindi,0.12790697674418605
Swahili,0.12790697674418605
Tagalog,0.12790697674418605
Nepali,0.13953488372093023
Punjabi,0.1511627906976744
Finnish,0.16279069767441862
Estonian,0.1744186046511628
Yoruba,0.18604651162790697
Zulu,0.2558139534883721
Xhosa,0.26744186046511625
Corsican,0.27906976744186046
Javanese,0.27906976744186046
Gujarati,0.313953488372093
Urdu,0.4186046511627907
Romanian,0.4418604651162791
Polish,0.47674418604651164
Latin,0.5813953488372093
Catalan,0.6046511627906976
Italian,0.686046511627907
Galician,0.7093023255813954
Pashto,0.7790697674418605
Czech,0.8372093023255814
Tamil,0.8488372093023255
Slovenian,0.872093023255814
Hebrew,0.9069767441860465
Maltese,0.9069767441860465
Tajik,0.9186046511627907
Arabic,0.9418604651162791
Hausa,0.9534883720930233
Albanian,0.9651162790697675
Somali,0.9651162790697675
Burmese,0.9767441860465116
Croatian,0.9767441860465116
Slovak,0.9767441860465116
Portuguese,0.9883720930232558
Bosnian,0.9883720930232558
Irish,0.9883720930232558
Amharic,0.9883720930232558
Telugu,0.9883720930232558
Icelandic,0.9883720930232558
Malayalam,0.9883720930232558
Sinhalese,1.0
Spanish,1.0
Ukrainian,1.0
Thai,1.0
Welsh,1.0
Vietnamese,1.0
Yiddish,1.0
Swedish,1.0
Afrikaans,1.0
Serbian,1.0
Belarusian,1.0
Bulgarian,1.0
Chinese_Simplified,1.0
Chinese_Traditional,1.0
Danish,1.0
Dutch,1.0
English,1.0
Esperanto,1.0
French,1.0
Frisian,1.0
German,1.0
Japanese,1.0
Kannada,1.0
Khmer,1.0
Korean,1.0
Lao,1.0
Lithuanian,1.0
Luxembourgish,1.0
Macedonian,1.0
Marathi,1.0
Norwegian,1.0
Russian,1.0
Scots_Gaelic,1.0
Sindhi,1.0
Latvian,1.0
